time,gpu_utilization
209568.0,0.075
209645.0,0.075
210048.0,0.075
210096.0,0.075
210379.0,0.075
210521.0,0.065
210547.0,0.065
210554.0,0.075
210559.0,0.08
210788.0,0.115
210979.0,0.115
211329.0,0.115
211462.0,0.115
211575.0,0.115
211688.0,0.115
211837.0,0.115
211855.0,0.115
211869.0,0.115
212327.0,0.115
212355.0,0.125
212365.0,0.135
212418.0,0.145
212528.0,0.145
212560.0,0.145
212627.0,0.145
212643.0,0.14
212648.0,0.135
212649.0,0.13
212650.0,0.125
212736.0,0.12
212758.0,0.12
212900.0,0.12
212915.0,0.12
213034.0,0.12
213092.0,0.12
213117.0,0.125
213122.0,0.13
213351.0,0.135
213417.0,0.13
213489.0,0.13
213490.0,0.13
213493.0,0.13
213505.0,0.13
213636.0,0.125
213830.0,0.125
213871.0,0.125
213938.0,0.125
213977.0,0.125
214030.0,0.14
214036.0,0.14
214037.0,0.145
214057.0,0.17
214068.0,0.17
214098.0,0.17
214158.0,0.17
214175.0,0.165
214225.0,0.16
214292.0,0.16
214387.0,0.16
214500.0,0.16
214557.0,0.16
214624.0,0.16
214635.0,0.16
214705.0,0.16
214735.0,0.16
214988.0,0.16
215061.0,0.16
215076.0,0.16
215140.0,0.16
215198.0,0.16
215201.0,0.16
215318.0,0.16
215438.0,0.16
215458.0,0.16
215602.0,0.165
215999.0,0.165
216044.0,0.165
216198.0,0.165
216255.0,0.165
216466.0,0.165
216685.0,0.15
216798.0,0.15
216886.0,0.15
216926.0,0.15
217110.0,0.15
217371.0,0.15
217463.0,0.15
217537.0,0.175
217580.0,0.17
217599.0,0.17
217634.0,0.165
217643.0,0.16
217648.0,0.16
217666.0,0.155
217668.0,0.155
217689.0,0.15
217919.0,0.15
218020.0,0.15
218023.0,0.155
218672.0,0.155
218694.0,0.155
218702.0,0.155
218703.0,0.155
218707.0,0.155
218729.0,0.155
218754.0,0.155
219420.0,0.155
219510.0,0.16
219537.0,0.16
219625.0,0.16
219636.0,0.16
219659.0,0.16
219669.0,0.16
219749.0,0.16
219773.0,0.16
219814.0,0.16
219820.0,0.16
219827.0,0.16
219969.0,0.16
220314.0,0.16
220346.0,0.16
220485.0,0.16
220587.0,0.16
220674.0,0.16
220819.0,0.16
220820.0,0.19
220884.0,0.195
220935.0,0.19
220939.0,0.19
220983.0,0.195
221158.0,0.2
221261.0,0.195
221262.0,0.19
221427.0,0.185
222355.0,0.185
223262.0,0.185
223466.0,0.185
224249.0,0.185
224363.0,0.21
224376.0,0.2
224436.0,0.195
224512.0,0.19
225867.0,0.19
225868.0,0.19
226378.0,0.19
226887.0,0.19
226918.0,0.19
227280.0,0.19
227388.0,0.19
227475.0,0.19
227847.0,0.19
228426.0,0.19
228695.0,0.19
229194.0,0.19
229507.0,0.19
229847.0,0.19
229854.0,0.19
230533.0,0.19
230650.0,0.19
230936.0,0.19
230988.0,0.19
231183.0,0.19
231188.0,0.19
231221.0,0.19
231311.0,0.19
231442.0,0.19
231562.0,0.19
231865.0,0.19
231977.0,0.19
231993.0,0.195
232098.0,0.195
232299.0,0.19
233406.0,0.19
234442.00000000003,0.19
234561.00000000003,0.195
234574.00000000003,0.19
234577.00000000003,0.185
235652.00000000003,0.185
235811.00000000003,0.19
236867.00000000003,0.19
237126.00000000003,0.185
237393.00000000003,0.185
237813.00000000003,0.195
237932.00000000003,0.2
237937.00000000003,0.195
238007.00000000003,0.19
238052.00000000003,0.185
238187.00000000003,0.18
241223.00000000003,0.18
241224.00000000003,0.185
241228.00000000003,0.19
241238.00000000003,0.195
241343.00000000003,0.205
241350.00000000003,0.195
241422.00000000003,0.19
241429.00000000003,0.185
241596.00000000003,0.18
241718.00000000003,0.175
241777.00000000003,0.17
242146.00000000003,0.165
244645.00000000003,0.165
245422.00000000003,0.165
254484.00000000003,0.16
255920.00000000003,0.16
255928.00000000003,0.16
257183.00000000003,0.16
259751.00000000003,0.16
259756.00000000003,0.165
260145.00000000003,0.16
260449.00000000003,0.16
260664.00000000003,0.16
260844.00000000003,0.16
261495.00000000003,0.16
262203.0,0.16
262230.0,0.16
262807.0,0.16
262917.0,0.16
263063.0,0.16
263295.0,0.16
264461.0,0.16
264716.0,0.16
265214.0,0.165
266009.0,0.165
267268.0,0.16
269159.0,0.16
270531.0,0.16
270668.0,0.16
270715.0,0.16
271656.0,0.16
272380.0,0.16
272637.0,0.16
272692.0,0.16
272872.0,0.16
272965.0,0.16
276139.0,0.16
277104.0,0.16
277268.0,0.16
278209.0,0.16
280556.0,0.17
280600.0,0.17
280881.0,0.17
281005.0,0.17
281151.0,0.17
281581.0,0.17
281626.0,0.17
281657.0,0.17
281665.0,0.17
281696.0,0.17
281712.0,0.175
281752.0,0.17
281806.0,0.165
281844.0,0.165
282637.0,0.16
283740.0,0.16
283741.0,0.16
283785.0,0.16
283800.0,0.16
284223.0,0.16
284266.0,0.16
284277.0,0.16
284282.0,0.16
284345.0,0.16
284426.0,0.16
284431.0,0.16
284521.0,0.16
284551.0,0.16
284580.0,0.16
284585.0,0.16
284610.0,0.16
284679.0,0.16
284736.0,0.16
284803.0,0.16
284851.0,0.16
284910.0,0.16
284940.0,0.16
285004.0,0.16
285105.0,0.16
285154.0,0.16
285218.0,0.16
285256.0,0.16
285374.0,0.16
285470.0,0.16
285610.0,0.16
286440.0,0.16
286824.0,0.16
286836.0,0.16
286895.0,0.16
287016.0,0.16
