id,submit_time,cpu,gpu,duration,assigned_node,start_time,end_time,wait_time,turnaround_time
instance_8820,397274.0,96.0,0,15160.0,n-7,397274.0,412434.0,0.0,15160.0
instance_8821,398487.0,96.0,0,113524.00000000006,n-30,398487.0,512011.00000000006,0.0,113524.00000000006
instance_8828,402129.0,64.0,0,4265.0,n-1,402129.0,406394.0,0.0,4265.0
instance_8829,402129.0,64.0,0,12531.0,n-5,402129.0,414660.0,0.0,12531.0
instance_8830,402129.0,64.0,0,54466.0,n-9,402129.0,456595.0,0.0,54466.0
instance_8832,402129.0,64.0,0,8663.0,n-11,402129.0,410792.0,0.0,8663.0
instance_8846,402909.0,96.0,0,122793.0,n-4,402909.0,525702.0,0.0,122793.0
instance_8847,402909.0,64.0,0,49217.0,n-3,402909.0,452126.0,0.0,49217.0
instance_8848,402909.0,64.0,0,159296.0,n-9,402909.0,562205.0,0.0,159296.0
instance_8850,403150.0,96.0,0,290222.0,n-22,403150.0,693372.0,0.0,290222.0
instance_8852,403214.0,64.0,0,108702.00000000006,n-0,403214.0,511916.00000000006,0.0,108702.00000000006
instance_8853,403384.0,96.0,0,16929.0,n-30,403384.0,420313.0,0.0,16929.0
instance_8857,403989.0,64.0,0,10277.0,n-12,403989.0,414266.0,0.0,10277.0
instance_8860,404170.0,64.0,0,17320.0,n-17,404170.0,421490.0,0.0,17320.0
instance_8861,404199.0,64.0,0,133.0,n-28,404199.0,404332.0,0.0,133.0
instance_8868,404831.0,96.0,0,62680.00000000006,n-25,404831.0,467511.00000000006,0.0,62680.00000000006
instance_8864,404890.0,48.0,0,15627.0,n-7,404890.0,420517.0,0.0,15627.0
instance_8867,404935.0,96.0,0,6709.0,n-39,404935.0,411644.0,0.0,6709.0
instance_8872,405379.0,64.0,0,121.0,n-12,405379.0,405500.0,0.0,121.0
instance_8870,405388.0,64.0,0,951.0,n-28,405388.0,406339.0,0.0,951.0
instance_8871,405388.0,48.0,0,951.0,n-14,405388.0,406339.0,0.0,951.0
instance_8874,405628.0,64.0,0,132.0,n-12,405628.0,405760.0,0.0,132.0
instance_8878,405734.0,96.0,0,5507.0,n-20,405734.0,411241.0,0.0,5507.0
instance_8877,405762.0,64.0,0,36625.0,n-12,405762.0,442387.0,0.0,36625.0
instance_8875,405763.0,64.0,0,17216.0,n-27,405763.0,422979.0,0.0,17216.0
instance_8880,405763.0,64.0,0,38432.0,n-2,405763.0,444195.0,0.0,38432.0
instance_8882,406413.0,48.0,0,972.0,n-14,406413.0,407385.0,0.0,972.0
instance_8889,409311.0,64.0,0,131.0,n-3,409311.0,409442.0,0.0,131.0
instance_8888,409360.0,96.0,0,2674.0,n-22,409360.0,412034.0,0.0,2674.0
instance_8890,410217.0,96.0,0,90998.00000000006,n-23,410217.0,501215.00000000006,0.0,90998.00000000006
instance_8899,410217.0,96.0,0,9076.0,n-34,410217.0,419293.0,0.0,9076.0
instance_8902,410232.0,96.0,0,95132.00000000006,n-1,410232.0,505364.00000000006,0.0,95132.00000000006
instance_8903,410232.0,96.0,0,99095.00000000006,n-8,410232.0,509327.00000000006,0.0,99095.00000000006
instance_8904,410232.0,96.0,0,195483.0,n-18,410232.0,605715.0,0.0,195483.0
instance_8906,410499.0,64.0,0,62865.00000000006,n-3,410499.0,473364.00000000006,0.0,62865.00000000006
instance_8896,410712.0,48.0,0,196862.0,n-14,410712.0,607574.0,0.0,196862.0
instance_8927,410966.0,64.0,0,163367.0,n-27,410966.0,574333.0,0.0,163367.0
instance_8922,411159.0,48.0,0,124.0,n-31,411159.0,411283.0,0.0,124.0
instance_8932,411386.0,64.0,0,7789.0,n-27,411386.0,419175.0,0.0,7789.0
