id,submit_time,cpu,gpu,duration
instance_7895,168052.0,64.0,0,6321.0
instance_7896,168113.0,64.0,0,4598.0
instance_7897,168173.0,64.0,0,4465.0
instance_7898,168233.0,64.0,0,5135.0
instance_7899,168262.0,64.0,0,4427.0
instance_7900,168322.0,64.0,0,4295.0
instance_7901,168413.0,64.0,0,24519.0
instance_7902,168443.0,64.0,0,35116.0
instance_7903,168473.0,64.0,0,9071.0
instance_7904,168820.0,64.0,0,3869.0
instance_7905,168820.0,64.0,0,13819.0
instance_7907,169132.0,64.0,0,3540.0
instance_7908,171585.0,64.0,0,5769.0
instance_7909,171693.0,64.0,0,40144.0
instance_7910,171723.0,96.0,0,47814.0
instance_7911,171829.0,12.0,1,3663.0
instance_7912,172083.0,12.0,1,5176.0
instance_7913,172083.0,64.0,0,32755.0
instance_7914,172113.0,64.0,0,7225.0
instance_7915,172113.0,64.0,0,7134.0
instance_7916,172113.0,64.0,0,27500.0
instance_7917,172113.0,64.0,0,31523.0
instance_7918,172113.0,64.0,0,8246.0
instance_7921,172173.0,64.0,0,17030.0
instance_7922,172173.0,64.0,0,20517.0
instance_7923,172173.0,64.0,0,20683.0
instance_7924,172173.0,64.0,0,128151.0
instance_7928,172199.0,64.0,0,40716.0
instance_7930,172203.0,64.0,0,5357.0
instance_7932,172203.0,64.0,0,29897.0
instance_7933,172203.0,64.0,0,38176.0
instance_7934,172420.0,192.0,0,34077.0
instance_7935,172902.0,64.0,0,36534.0
instance_7936,172904.0,96.0,0,6125.0
instance_7937,173313.0,64.0,0,24502.0
instance_7939,173704.0,64.0,0,54722.0
instance_7940,175023.0,64.0,0,1059.0
instance_7941,175023.0,64.0,0,1194.0
instance_7942,175065.0,64.0,0,9063.0
instance_7943,175023.0,64.0,0,45462.0
instance_7944,175023.0,64.0,0,129400.0
instance_7945,175865.0,12.0,1,17348.0
instance_7946,175420.0,48.0,0,4031.0
instance_7947,175420.0,48.0,0,166548.0
instance_7948,175540.0,48.0,0,431.0
instance_7949,175900.0,48.0,0,7139.0
instance_7950,175900.0,48.0,0,105757.0
instance_7951,175905.0,64.0,0,166818.0
instance_7953,175905.0,64.0,0,8818.0
instance_7954,175905.0,64.0,0,18437.0
instance_7958,176904.0,64.0,0,5594.0
instance_7962,177117.0,64.0,0,2763.0
instance_7965,178311.0,8.0,1,3350.0
instance_7966,178815.0,12.0,1,15729.0
instance_7968,178690.0,96.0,0,3432.0
instance_7969,178736.0,64.0,0,11618.0
instance_7970,178766.0,64.0,0,24956.0
instance_7971,178826.0,64.0,0,34525.0
instance_7972,178826.0,64.0,0,35231.0
instance_7973,178856.0,64.0,0,29017.0
instance_7974,179337.0,64.0,0,36662.0
instance_7975,179367.0,64.0,0,36071.0
instance_7977,179397.0,64.0,0,11285.0
instance_7979,179547.0,64.0,0,46831.0
instance_7980,179576.0,64.0,0,13816.0
instance_7981,179697.0,64.0,0,12778.0
instance_7982,179786.0,64.0,0,23746.0
instance_7985,181516.0,64.0,0,4108.0
instance_7987,181878.0,64.0,0,15283.0
instance_7988,182148.0,64.0,0,27900.0
instance_7996,182560.0,8.0,1,13679.0
instance_7997,183140.0,96.0,0,2726.0
instance_7998,183234.0,64.0,0,31153.0
instance_7999,183530.0,96.0,0,5435.0
instance_8003,184551.0,192.0,0,100128.0
instance_8004,184731.0,48.0,0,97113.0
instance_8006,185172.0,64.0,0,3766.0
instance_8007,185128.0,96.0,0,4000.0
instance_8008,185248.0,64.0,0,18593.0
instance_8009,185506.0,192.0,0,284743.00000000006
instance_8010,185969.0,64.0,0,99136.0
instance_8011,186058.0,64.0,0,17479.0
instance_8012,186996.0,8.0,1,3594.0
instance_8013,187975.0,64.0,0,4412.0
instance_8016,187975.0,64.0,0,16134.0
instance_8017,187975.0,48.0,0,42961.0
instance_8019,188099.0,96.0,0,26401.0
instance_8020,188099.0,96.0,0,29011.0
instance_8021,188113.0,64.0,0,74804.0
instance_8025,188729.0,64.0,0,92276.0
instance_8028,189628.0,64.0,0,13828.0
instance_8029,190259.0,64.0,0,201143.0
instance_8030,191735.0,64.0,0,4171.0
instance_8032,192065.0,64.0,0,21965.0
instance_8033,192275.0,64.0,0,4914.0
instance_8034,192275.0,64.0,0,19054.0
instance_8035,192860.0,12.0,1,318.0
instance_8036,192675.0,12.0,1,5649.0
instance_8037,192305.0,64.0,0,21763.0
instance_8038,192425.0,64.0,0,14446.0
instance_8039,192935.0,64.0,0,91288.0
instance_8041,193280.0,12.0,1,5044.0
instance_8042,194139.0,64.0,0,61789.00000000003
instance_8043,194139.0,48.0,0,87442.0
instance_8044,194139.0,48.0,0,87442.0
instance_8045,194140.0,48.0,0,293554.00000000006
instance_8046,195371.0,64.0,0,117320.0
instance_8047,197771.0,12.0,1,2565.0
instance_8048,197771.0,12.0,1,6030.0
instance_8049,196511.0,64.0,0,18194.0
instance_8050,196631.0,64.0,0,290833.00000000006
instance_8052,197412.0,64.0,0,1159.0
instance_8053,197782.0,48.0,0,22187.0
instance_8055,197841.0,64.0,0,23317.0
instance_8056,198947.0,64.0,0,179635.0
instance_8057,199156.0,12.0,1,9251.0
instance_8059,201647.0,64.0,0,169887.0
instance_8060,201737.0,64.0,0,82608.0
instance_8061,202572.0,12.0,1,5626.0
instance_8062,202638.0,64.0,0,27209.0
instance_8063,202847.0,64.0,0,7249.0
instance_8064,202847.0,64.0,0,84513.0
instance_8065,203052.0,8.0,1,227810.0
instance_8066,203052.0,8.0,1,233600.0
instance_8068,203148.0,64.0,0,280071.00000000006
instance_8069,203177.0,64.0,0,82041.0
instance_8071,203389.0,64.0,0,9526.0
instance_8072,204348.0,64.0,0,80806.0
instance_8073,204348.0,64.0,0,273799.00000000006
instance_8074,204533.0,192.0,0,181012.0
instance_8076,205493.0,192.0,0,252332.0
instance_8078,206783.0,12.0,1,180637.0
instance_8079,207624.0,12.0,1,179779.0
